driverId,constructorId,grid,winner,laps,circuitId
24,5,18,False,12,5
8,1,7,False,1,5
33,13,19,False,0,5
30,6,2,True,53,14
8,1,1,False,53,14
9,2,6,False,53,14
21,4,9,False,53,14
18,11,5,False,53,14
22,11,8,False,53,14
15,7,11,False,53,14
2,2,3,False,53,14
13,6,4,False,53,14
17,3,19,False,53,14
32,9,16,False,52,14
14,9,14,False,52,14
26,5,15,False,52,14
24,5,17,False,52,14
23,7,13,False,52,14
11,8,21,False,51,14
27,14,18,False,51,14
33,14,20,False,44,14
4,4,10,False,43,14
37,1,7,False,20,14
29,8,22,False,18,14
3,3,12,False,9,14
30,6,6,True,56,17
4,4,1,False,56,17
21,4,2,False,56,17
18,11,4,False,56,17
37,1,7,False,56,17
22,11,3,False,56,17
2,2,8,False,56,17
17,3,14,False,56,17
14,9,12,False,56,17
24,5,13,False,55,17
3,3,15,False,55,17
38,9,10,False,55,17
9,2,9,False,55,17
26,5,11,False,55,17
27,14,22,False,53,17
29,8,19,False,52,17
23,7,16,False,49,17
13,6,20,False,44,17
15,7,17,False,38,17
33,14,18,False,37,17
8,1,5,False,18,17
11,8,21,False,55,17
4,4,5,True,53,22
13,6,1,False,53,22
21,4,6,False,53,22
18,11,7,False,53,22
8,1,11,False,53,22
15,7,4,False,53,22
23,7,3,False,53,22
2,2,9,False,53,22
9,2,12,False,53,22
3,3,10,False,52,22
37,1,13,False,52,22
22,11,8,False,52,22
38,9,18,False,52,22
24,5,15,False,52,22
11,8,20,False,52,22
33,14,21,False,51,22
29,8,22,False,50,22
26,5,19,False,48,22
17,3,14,False,39,22
30,6,2,False,36,22
14,9,17,False,35,22
27,14,16,False,20,22
13,6,1,True,71,18
4,4,4,False,71,18
18,11,14,False,71,18
30,6,10,False,71,18
8,1,2,False,71,18
21,4,6,False,71,18
22,11,5,False,71,18
37,1,12,False,71,18
9,2,9,False,71,18
11,8,19,False,70,18
26,5,16,False,70,18
38,9,22,False,70,18
24,5,15,False,70,18
27,14,17,False,70,18
33,14,21,False,69,18
29,8,20,False,69,18
2,2,8,False,63,18
14,9,18,False,14,18
15,7,3,False,10,18
23,7,7,False,9,18
17,3,11,False,1,18
3,3,13,False,0,18
21,4,1,True,57,1
22,6,11,False,57,1
4,4,13,False,57,1
14,9,5,False,57,1
17,3,3,False,57,1
31,1,9,False,57,1
32,9,6,False,57,1
8,1,10,False,57,1
15,7,2,False,57,1
13,15,18,False,57,1
18,16,8,False,56,1
23,7,15,False,56,1
35,15,4,False,56,1
11,16,20,False,55,1
39,17,12,False,55,1
